title,artist,year,position,mood_tone,instrumentation,genre,lyrics
Blue Tango,Leroy Anderson,1952,1,"elegant, lively, flirtatious, cinematic","orchestral strings, woodwinds, tango rhythm, light percussion","instrumental pop, orchestral dance, light classical",
Wheel of Fortune,Kay Starr,1952,2,"dramatic, soulful, yearning, emotional","orchestral backing, sweeping strings, rhythm section, female vocal","traditional pop, torch song, early R&B influence","[Verse]
Spin that wheel and close your eyes  
Hope’s a game with no disguise  
Fate decides with every turn  
Will it heal or will it burn?  

[Chorus]
Wheel of fortune, roll again  
Will I lose or will I win?  
Place my heart and take the bet  
But I ain’t folded yet  

[Bridge]
Lady Luck, don’t pass me by  
Give this love another try  

[Outro]
Wheel of fortune, round we go  
Where it stops, I’ll never know"
Cry,Johnnie Ray & The Four Lads,1952,3,"emotional, vulnerable, sorrowful, expressive","minimal piano, orchestral swells, male tenor vocal, backing harmonies","pop ballad, emotional pop, traditional pop","[Verse]
If your tears could talk tonight  
They’d tell a tale of lost delight  
Of hands that held and then let go  
Of dreams we’ll never get to know  

[Chorus]
Cry, if you feel alone  
Let it break you, let it show  
I’ll be the echo in your sigh  
Don’t be afraid to cry  

[Verse]
I wore a smile I didn’t feel  
But pain has ways to make us real  
Now every sob is like a song  
Telling me where we went wrong  

[Bridge]
If crying is all that’s left  
I’ll still love you with each breath  

[Chorus]
Cry, if you feel alone  
Let it break you, let it show  
I’ll be the echo in your sigh  
Don’t be afraid to cry"
You Belong to Me,Jo Stafford,1952,4,"romantic, nostalgic, longing, sweet","soft strings, light percussion, female vocal, gentle orchestration","traditional pop, romantic ballad, crooner pop","[Verse]
See the pyramids along the Nile  
But know I’m thinking all the while  
No matter where your heart may roam  
You belong to me, come home  

[Chorus]
You belong to me, that’s true  
From distant lands to skies of blue  
Though you travel far and wide  
You are always by my side  

[Verse]
Count the stars above Bombay  
But don’t forget I’m here each day  
Writing songs you’ll never hear  
Wishing you were near  

[Bridge]
Even if we’re worlds apart  
You still live inside my heart  

[Chorus]
You belong to me, that’s true  
From distant lands to skies of blue  
Though you travel far and wide  
You are always by my side"
Auf Wiederseh’n Sweetheart,Vera Lynn,1952,5,"sentimental, gentle, farewell-themed, heartfelt","choral backing, soft orchestration, female vocal, slow tempo","traditional pop, wartime ballad, vocal ensemble pop","[Verse]
Auf wiederseh’n, my love, goodbye  
Though it hurts, I won’t ask why  
The ship is leaving with the tide  
And still I feel you by my side  

[Chorus]
Sweetheart, don’t forget our song  
Even if I’m gone too long  
Hold my memory in your sleep  
And my promise I will keep  

[Verse]
Auf wiederseh’n with tearful grace  
One last look upon your face  
Though the miles may lie between  
You're forever in my dream  

[Bridge]
Time may try to dim your name  
But I will love you just the same  

[Chorus]
Sweetheart, don’t forget our song  
Even if I’m gone too long  
Hold my memory in your sleep  
And my promise I will keep"
The Song from Moulin Rouge,Percy Faith,1953,1,"romantic, cinematic, wistful, tender","orchestral strings, soft brass, light percussion, instrumental focus","instrumental pop, film score, orchestral ballad",
Vaya con Dios,Les Paul & Mary Ford,1953,2,"gentle, bittersweet, spiritual, nostalgic","acoustic guitar, light strings, vocal harmony, slow tempo","traditional pop, Latin-influenced ballad, vocal duet","[Verse]
Now the night has come to call  
Stars above begin to fall  
Though we part, my heart is near  
Whispering words you long to hear  

[Chorus]
Vaya con Dios, my love so true  
May the angels walk with you  
Though you're gone, I still remain  
Till we meet and love again  

[Bridge]
Every prayer, every sigh  
Carries my love through the sky  

[Outro]
Vaya con Dios, though we’re apart  
You will always have my heart"
(How Much Is) That Doggie in the Window,Patti Page,1953,3,"playful, lighthearted, childlike, cheerful","simple rhythm section, woodwinds, female vocal, novelty elements","novelty pop, traditional pop, children’s song","[Verse]
How much is that doggie in the window?  
The one with the waggle and bark  
He looks like he'd chase all my troubles  
And cuddle me close after dark  

[Chorus]
I want that doggie, big bright eyes  
He don’t need riches or a prize  
Just give me that furry little friend  
To love me from end to end  

[Verse]
I’ll feed him treats and take long walks  
And share with him my deepest talks  
A bark or two, a tail that sways  
He’ll bring me joy on rainy days  

[Bridge]
He doesn’t care what clothes I wear  
As long as I am always there  

[Chorus]
I want that doggie, big bright eyes  
He don’t need riches or a prize  
Just give me that furry little friend  
To love me from end to end"
I'm Walking Behind You,Eddie Fisher,1953,4,"melancholic, emotional, contemplative, sorrowful","orchestral strings, piano, male vocal, slow tempo arrangement","traditional pop, sentimental ballad, crooner style","[Verse]
I’m walking behind you, step by step  
Through a love I couldn’t keep  
You hold his hand, I lower mine  
And hide my tears where shadows sleep  

[Chorus]
I’m walking behind you, though you don’t see  
You took your heart away from me  
Each silent step, a dream once new  
Now lost in memories of you  

[Verse]
The wedding bells, they echo slow  
While I pretend to let you go  
But every vow you speak today  
Was one I hoped that you would say  

[Bridge]
Love doesn’t end, it just moves on  
I’ll follow even when you’re gone  

[Outro]
I’m walking behind you, far apart  
Still holding you inside my heart"
"You, You, You",Ames Brothers,1953,5,"romantic, upbeat, warm, harmonious","tight vocal harmonies, light swing rhythm, piano, soft strings","traditional pop, vocal group harmony, early doo-wop influence","[Verse]
You, you, you are all I need  
The rhythm in my every beat  
When I wake or when I dream  
You’re the sparkle in my gleam  

[Chorus]
You, you, you light up the night  
Turn the wrongs into the right  
You, you, you, I can't deny  
You're my moon, my star, my sky  

[Verse]
From morning kiss to evening song  
With you is where I feel I belong  
Laughter rings where once was blue  
All because I found you  

[Bridge]
Let the world just spin away  
As long as you're mine every day  

[Outro]
You, you, you, my sweetest sound  
With you, true love is always found"
Little Things Mean a Lot,Kitty Kallen,1954,1,"romantic, sincere, soft, sentimental","orchestral strings, piano, gentle rhythm section, female vocal","traditional pop, romantic ballad, orchestral vocal","[Verse]
Send me no diamonds, no golden rings  
Just hold me close through simple things  
A whispered word, a gentle smile  
Can carry me for quite a while  

[Chorus]
Little things mean a lot  
More than treasure I haven’t got  
A note you leave, a loving glance  
Turns every day into romance  

[Verse]
You don’t need to climb a hill  
Just kiss my hand and time stands still  
It’s not the world I long to see  
It’s every little thought of me  

[Bridge]
You don’t need to speak a lot  
One soft hug says all you’ve got  

[Outro]
So hold me near, don’t let it drop  
Those little things mean a lot"
Wanted,Perry Como,1954,2,"pleading, heartfelt, warm, melancholic","orchestral arrangement, slow tempo, male baritone vocal, soft brass","traditional pop, crooner ballad, romantic vocal","[Verse]
Wanted—someone to understand  
To hold my heart, to take my hand  
You don’t need fame or fancy clothes  
Just be the one who truly knows  

[Chorus]
Wanted, like the air I breathe  
Like dreams that never choose to leave  
Someone who sees behind the pain  
And stays through sunshine and through rain  

[Verse]
I’ve waited long and wandered wide  
But never found that place to hide  
Where love could knock and stay awhile  
And warm my soul with just a smile  

[Bridge]
If you’re out there, hear this song  
Come find the heart you’ve searched for long  

[Outro]
Wanted, more than words can say  
Someone who’ll never walk away"
Hey There,Rosemary Clooney,1954,3,"introspective, emotional, expressive, conversational","piano, light percussion, lush strings, female vocal","traditional pop, theatrical ballad, vocal jazz","[Verse]
Hey there, you with the lonely stare  
Talking to shadows in the air  
Why do you wait for someone gone  
When love could be right here all along?  

[Chorus]
Hey there, stop the dream  
Step away from the movie screen  
Life is real, so take the chance  
Don’t miss out on a true romance  

[Verse]
You write their name in every sigh  
While time and hope go walking by  
But someone here still sees your light  
Even when you dim it every night  

[Bridge]
The world is bigger than regret  
So take my hand—don’t forget  

[Outro]
Hey there, turn your heart around  
I’m still here, still love you now"
Sh-Boom,The Crew-Cuts,1954,4,"joyful, upbeat, playful, romantic","vocal harmonies, doo-wop backing, rhythm guitar, saxophone","doo-wop, early rock and roll, R&B pop","[Intro]
Sh-boom, sh-boom, life could be a dream...  

[Verse]
If I could take you to the moon  
We’d sing beneath a doo-wop tune  
You smile and suddenly I know  
That this could be love, fo’ sho’  

[Chorus]
Sh-boom, my heart goes wild  
You’re like candy, sweet and styled  
If I wake up and you’re mine  
Life could be a dream divine  

[Verse]
Pop the top on a soda float  
Your name’s the tune my jukebox wrote  
Let’s take a ride, just you and me  
Down the lane of harmony  

[Bridge]
I never thought I’d fall so quick  
But with you, I found the trick  

[Outro]
Sh-boom, sh-boom, just say you will  
Life could be a dream come real"
Make Love to Me,Jo Stafford,1954,5,"flirtatious, affectionate, upbeat, jazzy","swing band instrumentation, horns, piano, female vocal","swing pop, jazz-influenced traditional pop, big band vocal","[Verse]
Take me in your arms tonight  
Hold me ‘til the morning light  
Forget the world, just you and me  
Darlin’, make love to me  

[Chorus]
Make love to me, slow and sweet  
With every breath and every beat  
Let the stars above us shine  
While your heart says it’s mine  

[Verse]
Dance me through the night’s embrace  
With every kiss, a warm new place  
No words are needed, can’t you see?  
Just make love to me  

[Bridge]
No need for diamonds, silk or wine  
Just your hands, and eyes that shine  

[Outro]
So let the night be all we need  
Come make love to me indeed"
Cherry Pink and Apple Blossom White,Perez Prado,1955,1,"romantic, exotic, playful, lively","trumpet lead, Latin rhythm section, brass, percussion, instrumental focus","mambo, Latin jazz, instrumental pop",
Rock Around the Clock,Bill Haley & His Comets,1955,2,"energetic, rebellious, danceable, youthful","electric guitar, upright bass, drums, male vocal, saxophone","rock and roll, rockabilly, early rock","[Intro]
One, two, three o'clock, rock!  

[Verse]
Put on your shoes and slick your hair  
We’re going dancing anywhere  
The jukebox jumps, the rhythm swings  
Let’s see what this ol’ night brings  

[Chorus]
We’re gonna rock around the clock tonight  
Turn up the heat, hold your baby tight  
From twelve to three, then back again  
We’ll keep on rockin’ ‘til the end  

[Verse]
Jump and jive with all your might  
Forget your troubles, feel the light  
We’re spinning wild on checker floors  
With every beat, we want more  

[Bridge]
The world may sleep but we won’t stop  
We’re jukin’ hard ‘til the needle pops  

[Chorus]
We’re gonna rock around the clock tonight  
Turn up the heat, hold your baby tight  
From twelve to three, then back again  
We’ll keep on rockin’ ‘til the end"
The Yellow Rose of Texas,Mitch Miller,1955,3,"patriotic, marching, bright, cheerful","military-style snare drums, brass, choral male vocal, marching band elements","marching band pop, folk revival, patriotic pop","[Verse]
There’s a yellow rose in Texas  
That I long to see once more  
She waits for me by moonlight  
By that old red wooden door  

[Chorus]
She’s the sweetest girl I ever knew  
Her smile can split the storm in two  
Though I roam this world so wide  
I still see her by my side  

[Verse]
When the bugles call at dawning  
And I march with weary men  
I think of her soft singing  
And it lifts me once again  

[Bridge]
No diamond shines the way she glows  
That lovely Texas yellow rose  

[Outro]
So tell her that I’m coming home  
No more to fight, no more to roam"
Autumn Leaves,Roger Williams,1955,4,"melancholic, reflective, romantic, elegant","solo piano, strings, orchestral swells, instrumental focus","instrumental pop, easy listening, classical crossover",
Unchained Melody,Les Baxter,1955,5,"yearning, emotional, passionate, timeless","orchestral backing, sweeping strings, wordless female vocal harmony","romantic ballad, traditional pop, film soundtrack","[Intro]  
Untethered heart...  
I call to you...  

[Verse]  
Oh my love, my only  
The night is long and cold  
I’ve waited here in silence  
With dreams I used to hold  

[Chorus]  
Come back and break the stillness  
Unchain the time we lost  
I’ll pay the price for longing  
No matter what the cost  

[Verse]  
I hear your voice in shadows  
A whisper in the rain  
I reach across the distance  
And feel your touch again  

[Bridge]  
If love can cross the heavens  
Then mine will find your soul  
Though miles and years divide us  
You’re what still makes me whole  

[Outro]  
Untethered heart, come home to me  
Set this silence free  
I need your love  
I need your love  
Come back and carry me  "
Heartbreak Hotel,Elvis Presley,1956,1,"melancholic, lonely, bluesy","electric guitar, acoustic guitar, upright bass, piano, drums","blues, rock and roll, rockabilly","[Verse]
Down at the end of Lonely Street  
There's a place where lost hearts meet  
Where broken dreams check in to stay  
And love just packs and walks away  

[Chorus]
Welcome to Heartbreak Hotel  
Where echoes cry and memories dwell  
You can leave your smile outside  
Inside here, the tears don’t hide  

[Verse]
The neon flickers, the silence hums  
I count regrets like ticking drums  
No one knocks and no one calls  
Just me and shadows on the walls  

[Bridge]
Once we danced, now I recall  
The steps we missed, the final fall  

[Outro]
So if you’re hurtin’, come on in  
Heartbreak Hotel will always let you in"
Don't Be Cruel,Elvis Presley,1956,2,"upbeat, playful, romantic","electric guitar, drums, backing vocals","rock and roll, pop","[Verse]
You got that look, you twist your lips  
You leave me hangin’ on the flips  
But baby, I’m not here for games  
Say you love me, don’t bring shame  

[Chorus]
Don’t be cruel to a heart so true  
Darlin’, I’m in love with you  
We’ve come so far, don’t push away  
Say you’ll stay, just one more day  

[Verse]
I ain’t perfect, made mistakes  
But I still give more than I take  
So don’t pretend you’re made of stone  
I need your warmth, not cold alone  

[Bridge]
This love’s a flame, don’t let it die  
You and I, we still could fly  

[Outro]
So take my hand and make it right  
Don’t be cruel tonight"
Lisbon Antigua,Nelson Riddle,1956,3,"nostalgic, exotic, elegant","piano, strings, brass, wordless male chorus","traditional pop, easy listening, orchestral",
My Prayer,The Platters,1956,4,"romantic, heartfelt, sentimental","tenor lead vocals, backing harmonies, strings","doo-wop, R&B, traditional pop","[Verse]
My prayer is whispered to the skies  
With hands held still and closing eyes  
I send your name with every plea  
That you’ll return to only me  

[Chorus]
My prayer, through stars it flies  
To light your path and clear the skies  
If heaven hears, then let it be  
You’ll come back home to me  

[Verse]
Each night I speak it soft and low  
Like lullabies from long ago  
It’s all I have, this quiet sound  
To bring your love back around  

[Bridge]
The world may change, the winds may blow  
But not the way I love you so  

[Outro]
My prayer, it floats on wings of grace  
Until I see your face"
The Wayward Wind,Gogi Grant,1956,5,"wistful, adventurous, longing","female vocals, orchestral strings, acoustic guitar","country, pop, traditional pop","[Verse]
I was born where tumbleweeds roll  
With restless skies and wide control  
My heart beats fast like thunder's call  
Never stayed to watch love fall  

[Chorus]
The wayward wind, it owns my name  
I ride alone and stake no claim  
But still I dream of eyes so kind  
A love I never got to find  

[Verse]
You tried to tie me down with grace  
But freedom pulled me from that place  
Now every road, and every bend  
Reminds me what I lost again  

[Bridge]
If the wind could turn around  
I'd find your voice, I'd find that sound  

[Outro]
But the wayward wind keeps blowin’ strong  
And I keep movin’ on"
All Shook Up,Elvis Presley,1957,1,"excited, playful, romantic","electric guitar, drums, male vocals","rock and roll, pop","[Verse]
Well I walk down the street and I can't sit still  
Got a jitter in my heart, like a spinning thrill  
Every time you look my way  
My words just jump and slip away  

[Chorus]
I'm all shook up, can’t lie  
Don’t know how or even why  
But darlin’, when you hold me tight  
I feel like dancing through the night  

[Verse]
My knees go weak, my hands feel light  
Your kiss hits harder than neon light  
The jukebox sings our favorite tune  
And I’m flying like a red balloon  

[Bridge]
I tried to play it cool and smooth  
But baby, you just shake my groove  

[Outro]
I’m all shook up, and that’s just fine  
'Cause now I know that you are mine"
Love Letters in the Sand,Pat Boone,1957,2,"nostalgic, sentimental, tender","piano, guitar, soft male vocals","traditional pop, ballad","[Verse]
On a summer day, we carved our names  
In shifting sands and youthful games  
But tides rolled in, and washed away  
The promises we made that day  

[Chorus]
Love letters in the sand  
Fade like dreams you tried to plan  
Your words once held me near  
Now they disappear  

[Verse]
You said forever, soft and sweet  
But silence came with aching feet  
Now every wave reminds my heart  
That love can drift and fall apart  

[Bridge]
I trace your name where shells have lain  
But all I find is loss and rain  

[Outro]
Love letters in the sand  
Were written by a fleeting hand"
Little Darlin,The Diamonds,1957,3,"fun, upbeat, doo-wop energy","male vocal harmony, handclaps, doo-wop rhythm","doo-wop, rock and roll","[Intro]
Ooh, little darlin’... yeah yeah yeah...  

[Verse]
Little darlin’, won't you stay  
Don't let the music fade away  
Your laugh’s a song, your eyes a fire  
You’re every note in my desire  

[Chorus]
Little darlin’, hold me near  
Whisper love I need to hear  
With every clap and harmony  
You’re the only one for me  

[Verse]
We spin beneath the silver moon  
The night plays on, a doo-wop tune  
The stars all blink when you walk by  
They sparkle in your lullaby  

[Bridge]
You’re the reason I believe  
That true love don’t ever leave  

[Outro]
Little darlin’, now I see  
You're the beat inside of me"
Young Love,Tab Hunter,1957,4,"romantic, youthful, innocent","orchestral strings, acoustic guitar, male vocals","pop, traditional pop","[Verse]
Young love, first glance  
A heartbeat lost to circumstance  
We don’t know much, but we feel it deep  
A vow we make, a truth we keep  

[Chorus]
Young love, tender flame  
Calling softly out my name  
Hold me close, don’t fade away  
Let this be our forever day  

[Verse]
We whisper dreams in trembling tones  
We build our world on stepping stones  
And though the world may doubt our time  
Our hearts are locked in perfect rhyme  

[Bridge]
Let them laugh or turn aside  
We’ve got nothing left to hide  

[Outro]
Young love, so pure and free  
You’re the only one for me"
So Rare,Jimmy Dorsey,1957,5,"sultry, smooth, jazzy","saxophone, jazz orchestra, male vocals","big band, jazz, pop","[Verse]
So rare, your smile at dawn  
Like jazz notes drifting on and on  
Your touch is silk, your breath a breeze  
You bring me gently to my knees  

[Chorus]
So rare, like midnight's tune  
A saxophone beneath the moon  
You move like rhythm in the air  
Darlin’, you're beyond compare  

[Verse]
You swirl like smoke from candle light  
A mystery bathed in velvet night  
One kiss from you, I lose control  
You jazz my heart, you stir my soul  

[Bridge]
They don’t make love like this no more  
You’re the sound I can't ignore  

[Outro]
So rare, so smooth, so fine  
You’ll always be that spark of mine"
Volare (Nel blu dipinto di blu),Domenico Modugno,1958,1,"romantic, soaring, dreamy","orchestral backing, male vocals, accordion","traditional pop, Italian pop","[Verse]
I dream I’m flying in the blue  
The sky wraps round like love from you  
My arms are wings, my breath is light  
You pull me into velvet night  

[Chorus]
Volare, fly with me  
Above the clouds, above the sea  
Let the stars begin to spin  
We’ll dance where dreams begin  

[Verse]
The world below can fade away  
As long as in your arms I stay  
Each word you sing becomes my sky  
And every glance lifts me high  

[Bridge]
Painted blue, my soul feels free  
Nel blu, I'm where I'm meant to be  

[Outro]
Volare, amore mio  
In your love, I rise and go"
All I Have to Do Is Dream,The Everly Brothers,1958,2a,"tender, nostalgic, harmonious","acoustic guitar, male vocal harmonies","rockabilly, pop, ballad","[Verse]
When the night is dark and cold  
And there’s no one left to hold  
I just close my eyes and see  
You’re still here, right next to me  

[Chorus]
All I have to do is dream  
Feel your kiss, or hear you sing  
I may be far, but you’re so near  
When I dream, you're always here  

[Verse]
I can make the rainbows shine  
Turn back time and make you mine  
There’s no limit to what I feel  
In my dreams, it’s all so real  

[Bridge]
Daylight fades but I don’t mind  
I’ve got your love locked in my mind  

[Outro]
All I have to do is dream  
And you're mine in every scene"
Claudette,The Everly Brothers,1958,2b,"energetic, fun, upbeat","electric guitar, upbeat rhythm, male vocals","rockabilly, pop","[Verse]
Claudette, you're fire and rhythm too  
Every step you take’s a groove  
When you laugh, the jukebox plays  
You light up my rockin’ days  

[Chorus]
Claudette, come swing with me  
You’re a spark in harmony  
From the twist down to your smile  
You’ve got me jumpin’ all the while  

[Verse]
You wear your joy just like a crown  
When you’re near, I can’t slow down  
One look and I can’t forget  
That I’m in love with sweet Claudette  

[Bridge]
Even when the lights go low  
You're the beat that steals the show  

[Outro]
Claudette, oh can’t you see?  
You’re the only one for me"
Don't,Elvis Presley,1958,3a,"pleading, romantic, slow-burning","slow tempo, crooning male vocals, strings","pop ballad, rock and roll","[Verse]
Don’t say goodbye, don’t let me go  
This heart still beats for you, you know  
The night gets cold when you’re not near  
Don’t leave me standing here  

[Chorus]
Don’t turn your back, don’t close the door  
You’re the love I’m asking for  
Hold me tight, don’t let it end  
Be my lover, be my friend  

[Verse]
We’ve come too far to break apart  
Don’t tear the seams of this heart  
One word from you could make me whole  
Don’t let silence take control  

[Bridge]
I’m not too proud to beg or cry  
Just say you’ll stay, don’t say goodbye  

[Outro]
Don’t say the words I dread tonight  
Say you love me, make it right"
I Beg of You,Elvis Presley,1958,3b,"hopeful, loving, upbeat","mid-tempo, electric guitar, male vocals","pop, rock and roll","[Verse]
I beg of you, don’t say goodbye  
Let me be your lullaby  
In your eyes I see my fate  
I’m knockin’, darlin’, at your gate  

[Chorus]
I beg of you, take my hand  
Let me help you understand  
No gold or fame, just love so true  
All I want is you  

[Verse]
Don’t make me dream of love alone  
Don’t turn my heart to stone  
I’ll sing your name through rain and blue  
If you’ll just say, “I do”  

[Bridge]
I’d give you stars and all I’ve got  
But just your smile would mean a lot  

[Outro]
So darlin’, please, I beg of you  
Say our love is true"
Witch Doctor,David Seville,1958,4,"playful, humorous, quirky","chipmunk vocals, piano, percussion","novelty, pop, rock and roll","[Intro]  
I went to see a wise old man  
To help me with my master plan  
I told him that I loved a girl  
But she just made my poor head whirl

[Verse]  
He looked at me with a wild old grin  
He said, “My boy, let’s begin!”  
He mixed up potions, strange and bright  
Then shouted spells into the night!

[Chorus]  
Ooh-ee, ooh-ah-ah  
Ting-tang, walla-walla bing-bang  
Ooh-ee, ooh-ah-ah  
Ting-tang, walla-walla boom!

[Verse]  
He gave me charms and rabbit feet  
Told me, “Dance and tap your feet!”  
So I did the crazy dance  
Hoping I would get a chance

[Chorus]  
Ooh-ee, ooh-ah-ah  
Ting-tang, walla-walla bing-bang  
Ooh-ee, ooh-ah-ah  
Ting-tang, walla-walla boom!

[Bridge]  
Now I’ve got her by my side  
Thanks to that old magic guide  
She thinks I’m a charming guy  
Even though she don’t know why!

[Chorus]  
Ooh-ee, ooh-ah-ah  
Ting-tang, walla-walla bing-bang  
Ooh-ee, ooh-ah-ah  
Thanks to the Witch Doctor’s zing-zang!"
Patricia,Perez Prado,1958,5,"festive, exotic, upbeat","brass, Latin percussion, piano","mambo, Latin jazz, instrumental",
The Battle of New Orleans,Johnny Horton,1959,1,"playful, patriotic, storytelling","banjo, snare drum, fiddle, male vocals","country, novelty song","[Intro]
In 1814, we took a little trip...  

[Verse]
We marched down south with a rebel yell  
Drums were snappin’, stories to tell  
The river roared, the cannons fired  
We fought with grit and never tired  

[Chorus]
We fought the fight in New Orleans  
Through muddy banks and musket scenes  
And when the smoke began to clear  
We cheered so loud they had to hear  

[Verse]
The banjos rang with every stride  
We kept Old Glory waving wide  
They thought we’d run, but stood our ground  
Sent 'em packin’ outta town  

[Bridge]
With fiddle tunes and marching beat  
We stomped the ground with steady feet  

[Outro]
We made a mark, we stood up tall  
The Battle of New Orleans said it all"
Mack the Knife,Bobby Darin,1959,2,"slick, confident, jazzy","big band, brass, swinging rhythm, male vocals","jazz, swing, traditional pop","[Verse]
Oh the shark has pretty teeth, dear  
But Mack, he hides his with a sneer  
He walks so smooth, talks so sweet  
But danger dances at his feet  

[Chorus]
Mack the Knife, he moves at night  
You won’t see him 'til he bites  
With a whisper, flash, and grin  
That’s when Mack comes slippin’ in  

[Verse]
He don’t shout, he don’t brag  
But he's the shadow with the swag  
Silk suit sharp, eyes like ice  
Mack don’t play, he rolls the dice  

[Bridge]
No one sees the way he goes  
But ask around, the story grows  

[Outro]
So watch your step and cross your heart  
Mack the Knife will play his part"
